index,program_name,category
642,Psychological Counseling,Psychology and Counseling
643,Management Communications / World Languages,Information and Data Management
644,Biological Engineering,Engineering 
645,Emergency Medicine,General Sciences
646,Biochemical Sciences,Molecular and Biological Sciences
647,Business Information Technology,Information and Data Management
648,Computer Science And Applications,Software and Computer Engineering
649,Information,Information and Data Management
650,International Business Focus In Political Science,International Business and Finance
651,"Creative Writing, Poetry",Psychology and Counseling
652,Knowledge Based Systems,Information and Data Management
653,It Management And It Marketing,Marketing and Economics
654,Anthropology,History and Social Sciences
655,"Software Engineer, Electrical Engineering",Software and Computer Engineering
656,"Plant Breeding, Genetics, And Biotechnology",Molecular and Biological Sciences
657,Horticulture Science,Molecular and Biological Sciences
658,Physics With A Focus In Robotics,Engineering 
659,"Philosophy, Music Industry",Philosophy and Cognitive Studies
660,Management: Behavioral Economics,Marketing and Economics
661,"Mathematics, Brain And Cognitive Sciences",Mathematics and Finance
662,Computational Physics,General Sciences
663,International Relations And Politics,Law and International Relations
664,Cryptography And Information Security,Information and Data Management
665,"Management, Economics, Communication Studies",Marketing and Economics
666,Medical And Pharmaceutical Biotechnology,Molecular and Biological Sciences
667,Stem Cell And Regenerative Medicine,Molecular and Biological Sciences
668,"Molecular Medicine, Basic And Applied Immunology",Molecular and Biological Sciences
669,"Medical, Molecular And Cellular Biology",Molecular and Biological Sciences
670,Christian Ministry And Computer Science,Software and Computer Engineering
671,Journalism,Engineering 
672,Arts Management,Cultural and Regional Studies
673,"Accounting Major, Computer Science Minor",Software and Computer Engineering
674,Intermediate Chinese Language,Cultural and Regional Studies
675,Physics And Philosophy,Philosophy and Cognitive Studies
676,"Master’s Degree, Computer Science",Software and Computer Engineering
677,Science And Executive Engineering,Engineering 
678,Cognitive Science And Computation,Philosophy and Cognitive Studies
679,High School Diploma,Engineering 
680,Cognitive Science,Philosophy and Cognitive Studies
681,Business And Administration,Marketing and Economics
682,School Of Foreign Service,International Business and Finance
683,Applied Analytics,Information and Data Management
684,Computer Vision And Machine Learning,Software and Computer Engineering
685,Electrical Engineering And Information Technology,Engineering 
686,Masters In Finance,Mathematics and Finance
687,Ba In Economics And Bs Business Administration,Marketing and Economics
688,Ycw20,Engineering 
689,"Computer Science, History",History and Social Sciences
690,Deep Learning,Engineering 
691,"Computer Science, Physics",Software and Computer Engineering
692,Enterpreneurship,International Business and Finance
693,Start,Marketing and Economics
694,Jee,Engineering 
695,Geological Technology,Engineering 
696,Strategy,Marketing and Economics
697,Computer Science And Neuroscience,Software and Computer Engineering
698,Hospitality Administration/management,Marketing and Economics
699,Is,Engineering 
700,"Bs Computer Science, Bs Applied Math, Ba Economics",Mathematics and Finance
701,Urban Studies/affairs,Cultural and Regional Studies
702,International/global Studies,Cultural and Regional Studies
703,"Political Science, Africana Studies",History and Social Sciences
704,Digital Marketing,Marketing and Economics
705,Administração De Empresas,Marketing and Economics
706,Geotechnical And Geoenvironmental Engineering,Engineering 
707,Engineering/industrial Management,Engineering 
708,"Biomedical Engineering, Economics",Engineering 
709,Medical Engineering,Engineering 
710,Big Data And Business Analytics,Information and Data Management
711,Business Economics,Marketing and Economics
712,"Economics, Neuroscience, Philosophy",Philosophy and Cognitive Studies
713,"Business, Information Technology",Software and Computer Engineering
714,Systems Biology,Molecular and Biological Sciences
715,Y Combinator Alumni,Engineering 
716,Ece,Engineering 
717,Urban Studies And Planning,Cultural and Regional Studies
718,Bioinspired Materials,Molecular and Biological Sciences
719,Fluid Dynamics,Mathematics and Finance
720,General Business,General Sciences
721,Bachelor Of Commerce,Marketing and Economics
722,"Vente, Distribution Et Opérations De Marketing, Général",Marketing and Economics
723,Startup,Engineering 
724,"Creative Writing, Marketing",Marketing and Economics
725,"Economics, Biological Sciences",Marketing and Economics
726,English,Engineering 
727,Electrical Engineer,Engineering 
728,"Master In Management, Programme Grande Ecole",Software and Computer Engineering
729,Mastère Spécialisé En Technologie And Management,Software and Computer Engineering
730,"Business Administration, Management And Operations",Software and Computer Engineering
731,"Psychology, Computer Science",Software and Computer Engineering
732,The Making Of A Modern Elder,History and Social Sciences
733,Computer Sciences,Software and Computer Engineering
734,Information Systems And Management,Information and Data Management
735,Information And Computer Engineering,Software and Computer Engineering
736,Economics And Philosophy,Marketing and Economics
737,"Economics, Public Policy",Marketing and Economics
738,"Finance, Entrepreneurship",Mathematics and Finance
739,Nuclear Science And Engineering,Engineering 
740,"Nuclear, Plasma, And Radiological Engineering",Engineering 
741,"Biology, Economics",Marketing and Economics
742,"Finance, Political Science",Mathematics and Finance
743,Geographic Information Science,Information and Data Management
744,Computer Science And Machine Learning,Software and Computer Engineering
745,Systems And Information Engineering,Software and Computer Engineering
746,"Computer Science, Natural Sciences",Software and Computer Engineering
747,Information Networking,Information and Data Management
748,"Economics, Finance And Real Estate",Mathematics and Finance
749,Entrepreneurship And Strategic Management,Marketing and Economics
750,Explainable Artificial Intelligence,Software and Computer Engineering
751,Informatique,Information and Data Management
752,Spécialités Mathématique,Mathematics and Finance
753,"Mathematics, Computers, Physics",Mathematics and Finance
754,Environmental Studies,Cultural and Regional Studies
755,"Economics, Secondary In Computer Science, Citation In Mandarin",Mathematics and Finance
756,Engineering And Management,Engineering 
757,Computer Engineering And Finance,Software and Computer Engineering
758,Bachelor's Of Science,General Sciences
759,"Mechanical Engineering, Management Science With A Concentration In Operations Research",Engineering 
760,"Graphic Communications, Graphic Design",Software and Computer Engineering
761,Dropped Out,Marketing and Economics
762,Biblical Studies,History and Social Sciences
763,"Computer And Information Sciences, General",Software and Computer Engineering
764,Marketing And Advertising,Marketing and Economics
765,Ai For Quantum Computing In Silicon,Software and Computer Engineering
